airline,nb_bumped,total_passengers,bumps_per_10k
AMERICAN AIRLINES,1418,15234924,0.9307562020000888
VIRGIN AMERICA,165,6090029,0.27093467042603575
UNITED AIRLINES,2013,98765432,0.20381625020381625
DELTA AIR LINES,679,99796155,0.06803869347471353
